title,date,time,venue,type,image,link
Death Becomes Her,2025-05-24,14:00:00,Lunt-Fontanne Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/62a/cbfce925-8919-4c5f-9efb-9472f842e62a_SOURCE,https://www.ticketmaster.com/death-becomes-her-new-york-new-york-05-24-2025/event/Z1r9uZrrZbpZ1AvZ_7x
Maybe Happy Ending,2025-05-24,14:00:00,Belasco Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/ffa/7eb92fd9-dc3f-48e9-81a7-520deab17ffa_EVENT_DETAIL_PAGE_16_9.jpg,https://www.ticketmaster.com/maybe-happy-ending-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ170yO3
Just In Time,2025-05-24,20:00:00,Circle In The Square Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/8f3/75921a17-32f8-4bb1-a809-e17c8a1078f3_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.com/just-in-time-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ17P9J4
Operation Mincemeat: A New Musical,2025-05-24,14:00:00,John Golden Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/a2d/af40159e-2f5b-4149-a62d-0606e553ba2d_CUSTOM.jpg,https://www.ticketmaster.com/operation-mincemeat-a-new-musical-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ17P907
Dead Outlaw,2025-05-24,14:00:00,Longacre Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/ba4/7980ce89-a793-47e9-bd98-f8d55e7c9ba4_TABLET_LANDSCAPE_16_9.jpg,https://www.ticketmaster.com/dead-outlaw-new-york-new-york-05-24-2025/event/Z1r9uZruZqGZ17PPO0
Smash Mouth,2025-07-19,19:00:00,Westgate Las Vegas Resort & Casino,Music,https://s1.ticketm.net/dam/a/830/2bd67e4b-11c4-44a0-b7e2-44c6b44cd830_SOURCE,https://www.ticketmaster.com/smash-mouth-las-vegas-nevada-07-19-2025/event/1700627DFE9CA976
Real Women Have Curves,2025-05-24,14:00:00,James Earl Jones Theatre,Arts & Theatre,https://s1.ticketm.net/dam/c/393/b74d3ddc-a5f3-4e09-a801-89c36b774393_106071_TABLET_LANDSCAPE_LARGE_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A74PGY
Hommage à Buena Vista Social Club,2025-06-27,20:30:00,Le Balcon,Music,https://s1.ticketm.net/dam/a/0b9/ee207864-cd75-45f3-bb31-fc127cc8a0b9_1076181_RETINA_PORTRAIT_3_2.jpg,https://www.ticketmaster.ca/hommage-a-buena-vista-social-club-montreal-quebec-06-27-2025/event/3100626EAA7832F3
Sunset Boulevard,2025-05-28,20:00:00,St. James Theatre,Arts & Theatre,https://s1.ticketm.net/dam/a/6a7/18ea247e-32bd-46ca-8d94-0e3db65d66a7_RETINA_PORTRAIT_16_9.jpg,https://www.ticketmaster.com/event/Z7r9jZ1A7aZbk
Gypsy Strings Revival,2025-06-28,20:30:00,Green Note,Music,https://s1.ticketm.net/dam/c/677/c58dd0af-cda8-49b2-bdaf-068540c3a677_106541_CUSTOM.jpg,https://www.ticketweb.uk/event/gypsy-strings-revival-green-note-tickets/14348453?REFERRAL_ID=tmfeed
